name,effect,Var,14Q2,15Q2,16Q2,17Q2,NoSeason,Sum,reliability,geff.x,G
14A0001CONV,0.787651852,6.029057905,4,8,0,0,2,12,0.656849651,0.827558437,0.286366978
14A0001LL55,-0.831074974,9.502500978,4,0,0,0,1,4,0.459154884,-0.328223501,-0.243006788
14A0002CONV,1.284678499,6.029057905,4,8,0,0,2,12,0.656849651,0.877689711,0.145023666
14A0002LL55,-4.749875134,9.502500978,4,0,0,0,1,4,0.459154884,-4.488453595,-5.171741659
14A0003CONV,-0.127841403,6.414412801,3,8,11,0,3,22,0.634916761,-0.808589635,-1.2967475
14A0003LL55,-2.263788167,9.502500978,4,0,0,0,1,4,0.459154884,-2.366225269,-2.608491213
14A0004CONV,-4.282765829,9.755089207,4,0,0,0,1,4,0.444778552,-4.185220788,-7.147637538
14A0004LL55,1.940805528,2.875610908,4,22,0,0,2,26,0.836331496,1.249059639,-0.640983796
14A0005CONV,-2.979456431,9.65178151,4,0,0,0,1,4,0.450658421,-3.500586861,-4.525026913
14A0005LL55,-0.612302605,9.56867998,4,0,0,0,1,4,0.455388235,-0.894099237,-0.733858796
14A0006CONV,-2.797135291,9.755089207,4,0,0,0,1,4,0.444778552,-2.921915267,-3.588909643
14A0006LL55,-3.859909233,9.56867998,4,0,0,0,1,4,0.455388235,-4.466917948,-7.896858644
14A0007CONV,-4.528734478,10.7397558,3,0,0,0,1,3,0.388735188,-5.264176792,-8.329649198
14A0007LL55,0.074743914,2.875610908,4,22,0,0,2,26,0.836331496,-1.187806647,-4.434230851
14A0008CONV,3.466855753,6.07139166,4,8,12,0,3,24,0.65444018,2.669496849,4.55708597
14A0008LL55,-3.397797069,9.372787359,4,0,0,0,1,4,0.466537675,-3.739371542,-4.113982013
14A0009CONV,-7.564876278,9.72379217,4,0,0,0,1,4,0.446559857,-7.603458507,-9.525619307
14A0009LL55,2.428364371,2.768854234,4,22,0,0,2,26,0.842407668,2.259037958,3.055430533
14A0010CONV,-2.29435406,5.299058447,4,8,0,0,2,12,0.69839836,-1.556749345,0.221156594
14A0010LL55,-0.473336377,2.944939402,4,21,0,0,2,25,0.83238559,0.182408053,-0.457314706
14A0011CONV,-1.630344923,6.029057905,4,8,0,0,2,12,0.656849651,-1.372378924,-1.232696716
14A0011LL55,-3.526850155,9.372787359,4,0,0,0,1,4,0.466537675,-3.093027908,-4.544986796
14A0012CONV,-5.615620911,9.755089207,4,0,0,0,1,4,0.444778552,-6.108338872,-8.279412854
14A0012LL55,-2.36004912,2.788432231,4,22,0,0,2,26,0.841293365,-2.425328146,-3.215205123
14A0013CONV,-1.562519853,9.65178151,4,0,0,0,1,4,0.450658421,-1.607509523,-3.115435945
14A0013LL55,1.768128576,2.876356057,4,21,0,0,2,25,0.836289085,2.684718499,1.841803423
14A0014CONV,-5.074900578,9.65178151,4,0,0,0,1,4,0.450658421,-5.750748238,-8.737054716
14A0014LL55,3.315778787,9.617348038,4,0,0,0,1,4,0.452618239,2.895098704,2.997768234
14A0015CONV,-4.532829821,5.558959125,3,8,0,0,2,11,0.683605832,-3.412116319,-3.812883387
14A0015LL55,1.137998146,2.967327904,4,21,0,0,2,25,0.831111324,0.953302162,-0.020042297
14A0016CONV,1.059366365,9.718862671,4,0,0,0,1,4,0.446840424,-0.084228847,-0.641298988
14A0016LL55,-2.785559462,9.834207188,4,0,0,0,1,4,0.440275466,-2.316486412,-2.745484807
14A0017CONV,-8.277577163,9.491640489,4,0,0,0,1,4,0.45977302,-8.143842526,-5.803951931
14A0017LL55,2.573617523,2.808244341,4,22,0,0,2,26,0.840165737,2.560065378,2.462676083
14A0018CONV,-6.544008919,9.62872589,4,0,0,0,1,4,0.451970657,-6.240275333,-5.602285864
