"","G3","G22","G58","G59","G76","G82","G87","G90","G115","G162","G165","G168","G171","G174","G177","G180","G216","G277","G278","G279","G280","G282","G283","G287","G290","G316","G317","G321","G323","G325","G330","G383","G387","G391","G597","G600","G603","G606","G658","G661","G663","G665","G667","G668","G669"
"G3",1,0.395909466110974,0.401354364048238,0.404207193690382,0.36544595746161,0.41564816602644,0.396268245101759,0.368229348536231,0.411440797290764,0.426526881887693,0.367859200771101,0.366224034439383,0.420499443035308,0.371546167371681,0.397026084062655,0.425158057573362,0.389213549966302,0.45538303343488,0.376359417130611,0.416749998706449,0.42113115388297,0.413602441638124,0.410355080940022,0.424434078664393,0.341437203300327,0.406542979601925,0.368122309673442,0.323745930473755,0.359906679605101,0.353449866249402,0.37281433127237,0.38766819545813,0.345427807589065,0.413490982800413,0.425106646658097,0.460176402678279,0.646341086828465,0.466236563919861,0.426627329823375,0.401460495646184,0.420531435994974,0.40206448364357,0.403638994799674,0.458108847417913,0.430029312538916
"G22",0.395909466110974,1,0.469074577700836,0.450701208249098,0.426525174054,0.630946894927763,0.451357553822992,0.473106956707751,0.639066890633564,0.366358194257595,0.407018051242683,0.395390766212262,0.382762308540554,0.443850446748903,0.39401127905802,0.630873000898929,0.392949534768121,0.387588021964985,0.456466993980758,0.49842301993621,0.463327146690565,0.484476523529341,0.422943515722671,0.367368265562862,0.438463948651088,0.373730923819742,0.408919242896074,0.41898615872962,0.407933766022327,0.408334687001886,0.408965563248336,0.335063950742151,0.394512620245897,0.457750133650758,0.374148535086221,0.435408708687415,0.414498957605348,0.360539118382021,0.383547598542326,0.336368123942539,0.404145629017471,0.363335867567386,0.37270235852322,0.412114164061116,0.39517382952982
"G58",0.401354364048238,0.469074577700836,1,0.420291126368035,0.440330837025627,0.52464193641893,0.390833464102879,0.453770458473933,0.497251647927304,0.396563409750233,0.373854083159733,0.433715096209226,0.398315932609323,0.404795886269466,0.411391028612392,0.481608287152738,0.422439364518391,0.452543650314935,0.457716020446779,0.52389714318289,0.477547457265015,0.470410298351015,0.456670378516707,0.375286919222562,0.428107130061152,0.387131257967818,0.406783211331834,0.413729947165729,0.408597391216937,0.399047818940098,0.392428996891077,0.327572536911587,0.341094256485192,0.444453635299415,0.413917876847057,0.440005417595801,0.436437197235828,0.366200083125321,0.442245043966634,0.376926044641446,0.409313203898116,0.400325900608152,0.406270996329757,0.400429219042297,0.440210704550775
"G59",0.404207193690382,0.450701208249098,0.420291126368035,1,0.428630457758481,0.455051010023794,0.548373432485929,0.378688497692712,0.431463008726269,0.378180459143192,0.414615216407973,0.385686977428658,0.419364022194985,0.36976059305525,0.413547834955548,0.428531211196467,0.384976674626327,0.387548267128645,0.378574713928226,0.378780489312099,0.37606895210156,0.402379881992356,0.398755985846849,0.374846957513112,0.344048699335433,0.364102205189111,0.370362069592705,0.3440417172553,0.374136183578634,0.355218300326974,0.374325082638506,0.379488909361451,0.40224629923294,0.448746366920922,0.371306650501168,0.466660592843138,0.434106822447018,0.377842844958981,0.340409780378689,0.339063666578363,0.326507664788411,0.359731600311876,0.325350514473629,0.43591998358495,0.383961362508563
"G76",0.36544595746161,0.426525174054,0.440330837025627,0.428630457758481,1,0.433862584151331,0.407441330839287,0.400430073970847,0.486296178772776,0.371952735097807,0.389074013972777,0.411737182910122,0.388241392260083,0.402455243325125,0.431083184150824,0.412501195614114,0.393353026381069,0.395794754833958,0.405498896030318,0.436111042165714,0.414740551390129,0.405241339636261,0.413387986830013,0.376386115131661,0.373437936514951,0.339259485160543,0.363273043723863,0.360687956852961,0.363069472927854,0.34316988483019,0.383996085773068,0.381030548914324,0.389332953758,0.401232418239281,0.371019896095636,0.392178366047826,0.387726527189788,0.342488800041378,0.400690397854035,0.350555451344596,0.36120546076094,0.405594573200568,0.375719698976715,0.357915119664116,0.386730792633906
"G82",0.41564816602644,0.630946894927763,0.52464193641893,0.455051010023794,0.433862584151331,1,0.439332318545792,0.452091137773465,0.550515184056377,0.398859199196502,0.383337929783631,0.405916286381341,0.411521373144039,0.422467373492041,0.408770103766503,0.566987298107781,0.398150279644532,0.439485897523524,0.436201944680298,0.507432947259126,0.464460521859118,0.491891363071852,0.437602610015591,0.388759767508665,0.427780331500146,0.395220077330759,0.43772600788207,0.433097282471445,0.440440112426918,0.441407075920389,0.434168568440459,0.365618245853361,0.368937416382613,0.500291970827817,0.398749543533172,0.451514881377879,0.447903544997052,0.386200120792382,0.388004585978551,0.370042186454643,0.412606871854399,0.391570301692164,0.385087247727575,0.435561342533086,0.404141740098999
"G87",0.396268245101759,0.451357553822992,0.390833464102879,0.548373432485929,0.407441330839287,0.439332318545792,1,0.398111604094977,0.413258562454807,0.387211933573283,0.41231443681233,0.405162852695149,0.422551759781117,0.382913827471481,0.386084912569265,0.440134622781946,0.338259913692208,0.42214615437867,0.392376018216597,0.415914281562874,0.387486527335554,0.418390537468487,0.364751818434443,0.407106174038708,0.367828302206686,0.365575330531017,0.375739173204605,0.350864121670176,0.38531638127051,0.360163486150726,0.378762537767492,0.346511703377732,0.381694596578791,0.445101251254589,0.388385869791647,0.461557384547047,0.438732386140331,0.36939623971588,0.375591824036981,0.364644148249725,0.342700470956296,0.361505567217113,0.332171761822858,0.427532362949979,0.404863471539937
"G90",0.368229348536231,0.473106956707751,0.453770458473933,0.378688497692712,0.400430073970847,0.452091137773465,0.398111604094977,1,0.464102595399589,0.386816985251957,0.388142046681781,0.386737961730171,0.379649074057409,0.409892890684067,0.380114958937236,0.462145799890826,0.351234161686511,0.372449980224455,0.475738771886347,0.467811383493874,0.438704820476847,0.419702158287608,0.397741216281249,0.378436161546248,0.451773277061318,0.393096616602094,0.398647013685565,0.414663870582796,0.400316559643456,0.403139271068862,0.411619916796527,0.333216211658155,0.360273836942848,0.426146940315354,0.407638504679167,0.381915929830257,0.386165628480357,0.350396970297549,0.389966006792886,0.376279264485665,0.389605112510344,0.399720509798637,0.403193200169375,0.356660559096754,0.388545526798534
"G115",0.411440797290764,0.639066890633564,0.497251647927304,0.431463008726269,0.486296178772776,0.550515184056377,0.413258562454807,0.464102595399589,1,0.398499064675513,0.386127605079493,0.42870022055791,0.399741733695877,0.452958578248905,0.40015540121719,0.578722481640965,0.42232422781994,0.403159883423705,0.45020421780585,0.508617425489696,0.445130156389823,0.459907960983466,0.446450727136034,0.382659793692451,0.455647245353109,0.402767248104094,0.415910776512291,0.432209850527148,0.415866248112511,0.420670076760447,0.420981044062995,0.362598503829099,0.376390435537676,0.460006474790922,0.426116272693211,0.442642220994927,0.418080274436245,0.370882890923283,0.436885186561749,0.391001086666939,0.419140669814866,0.407919362127736,0.423829143379429,0.402923211334646,0.440192396287544
"G162",0.426526881887693,0.366358194257595,0.396563409750233,0.378180459143192,0.371952735097807,0.398859199196502,0.387211933573283,0.386816985251957,0.398499064675513,1,0.433150964138277,0.411867048798974,0.433492954537951,0.360132730859994,0.400748495823455,0.391183977804633,0.387370534938975,0.411445799201416,0.382526916289655,0.408876214170183,0.3875671636101,0.371654114122141,0.388320371897552,0.404521365464999,0.396597472399995,0.442361915949327,0.418166260107733,0.40878732138346,0.410212534873334,0.419065012690388,0.410920272481615,0.405050661815801,0.339066243645456,0.421432797541234,0.430576579439434,0.444004095071722,0.399451155418077,0.399702685507063,0.386994947982931,0.407405789950671,0.392888245711693,0.414727315864286,0.423351233182622,0.402753194171288,0.399712138822371
