"Material.Name","LINK","FEMALE","MALE","YIELD_EST","LINT_EST","Boll.Type"
"013041-02MS137-05MS39","G3","95006-263","AP7115",88.9838125229889,-0.0876020287197658,4
"04T048","G22","DPX9758","DPAcala90",8.64449772218262,-0.468830650531375,3
"12FS002C","G58","00GC777","03C060",98.3829469441776,-2.13872910129066,3
"12J2055","G59","J4054","J4146",85.3676656964847,-0.520274993446361,4
"13FS064C","G76","02M093","04M011",-6.95184266877251,-0.958960809933142,4
"13NS029C","G82","9M006","02S176",95.7423252824375,-1.24614993627148,3
"13P0007","G87","J5048","J40838",86.6714847736934,1.01182609217031,3
"13Q0014","G90","08M105","08M002",80.8718544916661,-0.737007120697649,2
"13R0066","G115","04T048","02GC088",86.3997544802048,0.098116541050597,3
"14Q2R0001","G162","00569-04BR11","UGA-39-03SC25-07SC002",-21.9787834042871,-1.78105700727085,3
"14Q2R0011","G165","053020-06MS610","UGA-39-03SC25-07SC002",3.85731113305688,-1.21567131311057,4
"14Q2R0020","G168","053020-06MS610","UGA-39-03SC25-07SC002",-7.51494357299286,-3.03135342283881,5
"14Q2R0022","G171","BR06532-052","UGA-39-03SC25-07SC002",74.0477199317249,0.58904940098229,5
"14Q2R0053","G174","053020-06MS610","BR06532-052",82.1215700172801,1.82005626350532,4
"14Q2R0120","G177","033015-04MS108","003056-01MS116",11.0424229029167,0.640333329184546,5
"14Q2R0334","G180","04T048","Claudia",23.6235333858999,2.5063864368075,4
"14Q2S0253","G216","08MAB3FS155_2096256 X 08MAB3FS203_2096323","08MAB3FS045_2096378 X 08MAB3FS203_2096323",61.6457812611151,1.02112332262703,4
"15Q2R0108","G277","Sicot73","00GC777",-64.0767458846161,-0.741466907248802,3
"15Q2R0155","G278","Sicot189","04GC176",183.341492425444,1.94217656789866,3
"15Q2R0285","G279","DP5415","054029-06sc44",41.5613278634607,-0.661190127223921,NA
"15Q2R0297","G280","054029-06sc44","DPL5415",-40.2394439213352,-0.305215683108326,4
"15Q2R0361","G282","DP5415","054029-06sc44",41.5613278634607,-0.661190127223921,NA
"15Q2R0438","G283","A8386/01C004//A8386/01C004","A8386/01C004//A8386/01C004",27.2011950881748,-1.80661056245624,4
"712SE1839","G287","983050-99MS88","SICOT75",93.0916072971775,1.22903167269138,4
"712SE1842","G290","983050-99MS88","SICOT75",99.3004057652962,2.25384838427129,4
"BR06532-044-09","G316","00530-01BR31-04BR2F7","97217-210-45F1006BD",163.077939834171,4.01539442928299,5
"BR06534-028","G317","02540-03BR1-04BR2F5","97217-210-45F1006BD",208.081993224433,5.03745407913763,4
"BR07536-05-26","G321","97217-210-45F1006BD","02530-03BR1-04BR1F6",111.365211055302,4.18965594194234,5
"BR07536-09-06","G323","97217-210-45F1006BD","02530-03BR1-04BR1F6",110.023558178749,3.52519150194808,5
"BR07559-02-31","G325","005212-03BR6F4-04BR5F5-05BR1F7","97217-210-45F1006BD",131.033410003773,4.66395058284964,5
"BR08522-1-11","G330","BR02548-03BR5-04BR1","EB 18212",142.747689112405,0.241723454884805,4
"EXPS15-7SC01","G383","EXP0805-MS35","FM832",47.4242696073498,-1.24700846612218,3
"FM832","G387","0","0",57.2432307947301,-0.542554340596905,NA
"GA2011-004-001","G391","0","0",137.319676855861,2.95960211288039,3
"R14Q2x059-07","G597","EB 324410","TX09060-11",95.2550886822219,4.37988346507004,4
"R14Q2x069-02","G600","024026-03SC048","TX10054-05",54.2568452874574,0.17115415683648,4
"R14Q2x080-08","G603","013041-02MS137-05MS39","TX10054-05",90.5437046495842,1.13864317265733,3
"R15Q2x0281","G606","EXPS15-7SC01","R14Q2x0033",96.4750436045439,0.73056556140202,4
"TX09047-01","G658","SICOT75","PM183",100.195179122107,0.303748049731336,4
"TX09060-12","G661","CS44","99004-114",112.909792917566,4.12894611585515,3
"TX10014-01-02","G663","34036-04SC224","99004-424",13.06470426181,0.849366156328505,4
"TX10017-01","G665","99004-424","005128-01BR57 F5",101.114153407327,1.88510812563303,4
"TX10022-07-05","G667","99216-415","99004-424",61.3810875539705,1.8504085427996,5
"TX10054-15-01","G668","SICOT75","033001-04MS151",83.4595564772175,2.88515219207276,4
"TX10055-01","G669","SICOT75","044011-05SC213",75.3599565971339,0.552192703967457,4
